keypoint,mean_x,mean_y,std_x,std_y,min_x,max_x,min_y,max_y
wrist,0.474712,0.513897,0.236781,0.194869,0.0,1.0,0.0,1.0
thumb_1,0.502548,0.469352,0.182588,0.151125,0.0,0.981982,0.0,0.953846
thumb_2,0.515245,0.449719,0.163438,0.134957,0.021739,0.992126,0.012121,0.955959
thumb_3,0.525371,0.448401,0.17625,0.14309,0.0,1.0,0.00542,0.962441
thumb_tip,0.534876,0.449378,0.219362,0.178355,0.0,1.0,0.0,1.0
index_1,0.499346,0.425298,0.128994,0.100619,0.0,0.9625,0.01,0.802198
index_2,0.510404,0.426958,0.169449,0.141681,0.0,0.983871,0.008403,0.986014
index_3,0.514946,0.443265,0.208374,0.16794,0.0,1.0,0.0,0.986014
index_tip,0.51748,0.456445,0.254134,0.199449,0.0,1.0,0.0,1.0
middle_1,0.484302,0.456073,0.118529,0.096539,0.014388,0.981818,0.045455,0.933333
middle_2,0.49647,0.464035,0.159811,0.134514,0.0,1.0,0.021858,0.986014
middle_3,0.500118,0.485219,0.200573,0.154834,0.0,0.978102,0.014151,1.0
middle_tip,0.500798,0.498722,0.246161,0.187479,0.0,1.0,0.0,1.0
ring_1,0.472954,0.492491,0.131616,0.109526,0.034483,0.949153,0.060606,1.0
ring_2,0.483689,0.50319,0.162341,0.132775,0.0,0.951389,0.017045,1.0
ring_3,0.486381,0.525888,0.190659,0.145363,0.0,0.96,0.078947,1.0
ring_tip,0.486538,0.537599,0.227926,0.168254,0.0,1.0,0.0,1.0
pinky_1,0.463561,0.531915,0.163796,0.135586,0.0,0.974359,0.061538,1.0
pinky_2,0.470515,0.540484,0.17815,0.145221,0.0,0.969907,0.033113,1.0
pinky_3,0.470987,0.554471,0.192208,0.151154,0.0,1.0,0.033113,1.0
pinky_tip,0.469013,0.560938,0.215295,0.163817,0.0,1.0,0.0,1.0
